,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,NEWS,O,REALITY-TV,ROMANCE,S,SPORT,T,THRILLER,WAR
38,Cuando éramos soldados,(2002),18,143.0,7.1,65.0,143075.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
39,Cunk on Britain,(2016–2018),,30.0,8.2,NaN,1501.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
40,Curiosa,(2019),16,107.0,5.4,NaN,2482.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
41,Da Vinci's Demons,(2013–2015),12,60.0,7.9,NaN,77032.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Dalui Yeonin - Bobogyungsim Ryeo,(2016),,60.0,8.7,NaN,8875.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
43,Deadwood,(2004–2006),18,55.0,8.6,NaN,107646.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
44,Des,(2020),18,143.0,7.6,NaN,17456.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
45,Descendientes,(2022),PG,109.0,7.1,88.0,450.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
46,"Deseo, peligro",(2007),18,157.0,7.5,61.0,42279.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
47,Dirilis: Ertugrul,(2014–2019),,120.0,7.9,NaN,37049.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,Domina,(2021– ),,60.0,7.1,NaN,3813.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
49,Dunkerque,(2017),12,106.0,7.8,94.0,654880.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
50,El Chapo,(2017–2018),16,43.0,7.8,NaN,18659.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,El Nuevo Mundo. The New World,(2005),7,135.0,6.7,69.0,86902.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
52,El asesinato de Jesse James por el cobarde Robert Ford,(2007),12,160.0,7.5,68.0,182646.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,El buen pastor,(2006),13,167.0,6.7,61.0,104099.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
54,El caballero del rey,(2022),,96.0,4.4,NaN,324.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
55,El crisol,(1996),13,124.0,6.8,75.0,38309.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
56,El discurso del rey,(2010),A,118.0,8.0,88.0,680529.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
57,El día más largo,(1962),A,178.0,7.7,75.0,56337.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
