,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
64,Generation Kill,(2008),,70.0,8.5,NaN,54160.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
65,Greyhound: Enemigos bajo el mar,(2020),12,91.0,7.0,64.0,97618.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
66,Guerra y paz,(2016),,380.0,8.1,NaN,23819.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
67,Halo,(2022– ),,60.0,7.1,NaN,59542.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
68,Hasta el último hombre,(2016),16,139.0,8.1,71.0,522957.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
69,Hermanos de sangre,(2001),13,594.0,9.4,NaN,466396.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
70,Hooligans,(2005),R,109.0,7.4,55.0,151949.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
71,Héroes rebeldes de SAS,(2022),18,52.0,8.2,NaN,5248.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
72,Invencible (Unbroken),(I) (2014),12,137.0,7.2,59.0,168928.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,Jarhead - El infierno espera,(2005),18,125.0,7.0,58.0,191242.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
74,Jojo Rabbit,(2019),12,108.0,7.9,58.0,386799.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
75,Juego de armas,(2016),16,114.0,7.1,57.0,220462.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Kurulus: Osman,(2019– ),,120.0,7.5,NaN,9966.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,La chaqueta metálica,(1987),18,116.0,8.3,76.0,740730.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
78,La delgada línea roja,(1998),13,170.0,7.6,78.0,188603.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
79,La gran evasión,(1963),18,172.0,8.2,86.0,244937.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
80,La noche más oscura,(2012),16,157.0,7.4,95.0,301791.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
81,La princesa blanca,(2017),,60.0,7.5,NaN,13242.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
82,La reina blanca,(2013),16,60.0,7.7,NaN,28340.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
83,La señora Miniver,(1942),A,134.0,7.6,NaN,18021.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
84,La sociedad literaria y el pastel de patata,(2018),7,124.0,7.3,65.0,47162.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
85,La teniente O'Neil,(1997),18,125.0,6.0,62.0,82582.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
86,La tumba de las luciérnagas,(1988),13,89.0,8.5,94.0,276533.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
87,La vida es bella,(1997),A,116.0,8.6,59.0,692126.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
88,Largo domingo de noviazgo,(2004),13,133.0,7.6,76.0,74117.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
89,Lawrence de Arabia,(1962),A,218.0,8.3,100.0,293970.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,Leyendas de pasión,(1994),13,133.0,7.5,45.0,167619.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
