,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,I,L,M,MUSIC,MUSICAL,ROMANCE,SCI-FI,SHORT,SPORT,WESTERN
81,Harry Potter y el prisionero de Azkaban,(2004),7,142.0,7.9,82.0,630317.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
82,Harry Potter y la Orden del Fénix,(2007),7,138.0,7.5,71.0,578497.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,Harry Potter y la cámara secreta,(2002),7,161.0,7.4,63.0,631138.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
84,Harry Potter y la piedra filosofal,(2001),A,152.0,7.6,65.0,773799.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
85,Harry Potter y las Reliquias de la Muerte - Parte 1,(2010),7,146.0,7.7,65.0,545734.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
86,Harry Potter y las Reliquias de la Muerte - Parte 2,(2011),7,130.0,8.1,85.0,869614.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
87,Haunted Mansion,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
88,Heartland,(II) (2007– ),,45.0,8.5,NaN,16946.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
89,Historias corrientes,(2009–2017),,23.0,8.5,NaN,45259.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,Historias de Chesapeake,(2016–2022),7,42.0,7.5,NaN,8033.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
91,Historias de Navidad,(1983),A,93.0,7.9,77.0,148200.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Hook (El capitán Garfio),(1991),A,142.0,6.8,52.0,254861.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,Hope,(2010–2014),,22.0,8.1,NaN,38092.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
94,Hora de aventuras,(2010–2018),,11.0,8.6,NaN,94970.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,Hotel Transilvania,(2012),A/i,91.0,7.0,47.0,256177.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Hotel Transilvania 2,(2015),A,89.0,6.6,44.0,128307.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,Hotel Transilvania 3: Unas vacaciones monstruosas,(2018),A,97.0,6.3,54.0,74604.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,Hotel Transilvania 4: Transformanía,(2022),7,87.0,6.0,46.0,30591.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,Hércules,(1997),A,93.0,7.3,74.0,231843.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,Ice Age. La edad de hielo,(2002),A,81.0,7.5,61.0,482388.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,James y el melocotón gigante,(1996),T,79.0,6.7,78.0,68275.0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
102,Jumanji,(1995),7,104.0,7.0,39.0,345614.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
103,Karate Kid (El momento de la verdad),(1984),A,126.0,7.3,60.0,226198.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,Karate Kid III: El desafío final,(1989),A,112.0,5.3,36.0,64312.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
105,Kung Fu Panda,(2008),A,92.0,7.6,74.0,468737.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,La bella y la bestia,(1991),T,84.0,8.0,95.0,454008.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
107,La bella y la bestia,(I) (2017),A/i,129.0,7.1,65.0,308785.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
108,La casa de la pradera,(1974–1983),Not Rated,60.0,7.5,NaN,23762.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
109,La casa del reloj en la pared,(2018),7,105.0,6.0,57.0,52136.0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
110,La doctora Quinn,(1993–1998),,60.0,6.8,NaN,12363.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
111,La familia Addams,(1964–1966),A,30.0,8.0,NaN,18050.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
112,La familia Addams,(2019),7,86.0,5.8,46.0,39741.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,La familia Addams 2,(2021),7,93.0,5.4,37.0,12448.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,La familia Monster,(1964–1966),,30.0,7.8,NaN,15400.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
115,La historia interminable,(1984),A,102.0,7.3,46.0,145386.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
116,La invención de Hugo,(2011),A,126.0,7.5,83.0,323503.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
117,La isla de Gílligan,(1964–1967),,30.0,7.4,NaN,15255.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
118,La maldición de las brujas,(1990),A,91.0,6.8,78.0,50905.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,La maldición de los hoyos,(2003),7,117.0,7.0,71.0,89976.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,La mansión encantada,(2003),A,99.0,5.1,34.0,49996.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
121,La materia oscura,(2019–2022),16,60.0,7.8,NaN,64360.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
122,La misteriosa sociedad Benedict,(2021– ),9+,NaN,7.6,NaN,4161.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,La niñera,(1993–1999),7,22.0,7.0,NaN,43880.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
124,La novia cadáver,(2005),7,77.0,7.3,83.0,273984.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
125,La princesa prometida,(1987),A,98.0,8.0,77.0,426956.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
126,La sirenita,(1989),A,83.0,7.6,88.0,263527.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,La sirenita,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
128,La telaraña de Carlota,(2006),TP,97.0,6.3,68.0,42868.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
129,Las brujas de Roald Dahl,(2020),7,106.0,5.3,47.0,41370.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
