,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
52,Con faldas y a lo loco,(1959),A,121.0,8.2,98.0,267555.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
53,Control,(2007),R,122.0,7.6,78.0,65780.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,Corazones malheridos,(2022),,122.0,6.7,30.0,36370.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
55,Corazón rebelde,(2009),7,112.0,7.2,83.0,90481.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
56,Cásate conmigo,(2022),7,112.0,6.1,51.0,31374.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
57,Daisy Jones & The Six,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
58,Dancing with the Stars,(I) (2005– ),,60.0,4.8,NaN,10017.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
59,Dando la nota,(2006),18,94.0,6.8,55.0,109947.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
60,Dando la nota,(2012),12,112.0,7.1,66.0,307007.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
61,Dando la nota - Aún más alto,(2015),7,115.0,6.4,63.0,158272.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
62,Dando la nota 3,(2017),12,93.0,5.8,40.0,64955.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
63,Dave,(2020– ),16,30.0,8.3,NaN,19389.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
64,Descubriendo a los Robinsons,(2007),G,95.0,6.8,61.0,101246.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,Dewey Cox: Una vida larga y dura,(2007),13,96.0,6.8,63.0,73894.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
66,Dick Tracy,(1990),A,105.0,6.2,68.0,62493.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,Dirty Dancing,(I) (1987),A,100.0,7.0,65.0,233165.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
68,Dirty Dancing 2,(2004),A,86.0,5.9,39.0,28442.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
69,Dreamgirls,(2006),7,130.0,6.6,76.0,74302.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
70,Drumline,(2002),A,118.0,5.9,63.0,34932.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,Días felices,(1974–1984),,30.0,7.4,NaN,19148.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
72,El Rey: Vicente Fernández,(2022– ),,52.0,7.4,NaN,335.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
