,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,O,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR
66,El Grinch,(2000),A,104.0,6.2,46.0,246606.0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,El Pacificador,(2022– ),16,40.0,8.3,NaN,109305.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,El escuadrón suicida,(2021),16,132.0,7.2,72.0,348009.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,El espíritu de la Navidad,(2022),PG-13,127.0,6.1,56.0,240.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,El gran hotel Budapest,(2014),12,99.0,8.1,88.0,804874.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,El insoportable peso de un talento descomunal,(2022),12,107.0,7.0,68.0,81749.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,El joven Sheldon,(2017– ),TP,30.0,7.6,NaN,61648.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,El juego de la sospecha (Cluedo),(1985),13,94.0,7.2,39.0,97742.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,El lobo de Wall Street,(2013),16,180.0,8.2,75.0,1395968.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,El menú,(2022),7,106.0,7.5,70.0,1299.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
76,El país de los sueños,(2022),PG,117.0,7.4,40.0,47.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,El peor vecino del mundo,(2022),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,El retorno de las brujas,(1993),7,96.0,6.9,43.0,142826.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
79,El retorno de las brujas 2,(2022),12,103.0,6.0,56.0,42118.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
80,El show de Truman,(1998),A,103.0,8.2,90.0,1073717.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,El triángulo de la tristeza,(2022),R,147.0,7.9,63.0,17012.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
