,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,THRILLER,V,WAR,WESTERN
53,El Espíritu de Bridge Hollow,(2022),12,89.0,5.6,38.0,8206.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
54,El Pacificador,(2022– ),16,40.0,8.3,NaN,109305.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,"El bueno, el feo y el malo",(1966),13,182.0,8.8,90.0,758743.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
56,El escuadrón suicida,(2021),16,132.0,7.2,72.0,348009.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,El fugitivo,(1963–1967),,51.0,8.1,NaN,4188.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
58,El gran hotel Budapest,(2014),12,99.0,8.1,88.0,804874.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,El hijo bastardo y el mismísimo diablo,(2022– ),16,60.0,7.6,NaN,5032.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,El hobbit: Un viaje inesperado,(2012),7,169.0,7.8,58.0,827059.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
61,El hombre de acero,(2013),12,143.0,7.1,55.0,770160.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
62,El hombre del norte,(2022),16,137.0,7.1,82.0,189136.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,El lago azul,(1980),14,104.0,5.8,31.0,71105.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
64,El libro de Boba Fett,(2021– ),12,38.0,7.3,NaN,148582.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
65,El libro de Catherine,(2022),PG-13,108.0,6.5,74.0,3550.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,El país de los sueños,(2022),PG,117.0,7.4,40.0,47.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
