,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FILM-NOIR,HORROR,I,L,M,MYSTERY,ROMANCE,SCI-FI,SPORT,THRILLER
104,"I, the Jury",(1953),,87,6.1,NaN,465,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
105,Impacto,(1949),,111,7.0,NaN,4062,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
106,Jail Bait,(1954),A,71,3.6,NaN,2735,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
107,Justa venganza,(1948),13,79,7.2,NaN,5018,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
108,La araña,(1947),,87,7.1,NaN,1163,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
109,La calle desnuda,(1955),,84,6.5,NaN,1132,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
110,La carta,(1940),13,95,7.6,NaN,13399,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
111,La casa de bambú,(1955),,102,6.8,NaN,3765,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
112,La casa de la colina,(1951),,93,6.9,NaN,3185,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
113,La casa del río,(1950),,83,7.1,NaN,3635,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
114,La casa en la sombra,(1951),,82,7.2,78.0,7295,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
115,La casa número 322,(1954),,88,7.1,NaN,3372,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
116,La casa roja,(1947),,100,6.7,NaN,4385,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
117,La ciudad desnuda,(1948),A,96,7.6,74.0,13977,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
118,La dalia azul,(1946),13,96,7.1,NaN,8760,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
119,La dama de Shanghái,(1947),,87,7.5,NaN,30799,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
120,La dama de Trinidad,(1952),,98,6.6,NaN,2680,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
121,La dama del lago,(1946),,105,6.5,NaN,5630,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
122,La dama del tren,(1945),,94,6.8,48.0,2220,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
123,La dama desconocida,(1944),A,87,7.2,NaN,5094,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
124,La enigmática señora Loverly,(1951),,104,6.5,NaN,491,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
125,La extraña mujer,(1946),,100,6.6,NaN,2156,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
