,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
47,Dahmer - Monstruo: La historia de Jeffrey Dahmer,(2022),18,534.0,8.0,NaN,109878.0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Daredevil,(2015–2018),18,54.0,8.6,NaN,439572.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Dark,(2017–2020),16,60.0,8.7,NaN,378748.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,Dead to Me,(2019–2022),13,30.0,8.0,NaN,78448.0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,Deadwind,(2018–2021),16,45.0,7.3,NaN,10322.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,Decision to Leave,(2022),,139.0,7.3,84.0,15127.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
53,Desde cero,(2022),16,422.0,7.9,NaN,7824.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Desde dentro,(II) (2022),18,240.0,6.6,NaN,13570.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,Devotion. Una historia de héroes,(II) (2022),PG-13,138.0,6.3,60.0,273.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
56,Dexter,(2006–2013),18,53.0,8.7,NaN,724128.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,Doctor Who,(2005– ),13,45.0,8.6,NaN,224830.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,Downton Abbey,(2010–2015),7,58.0,8.7,NaN,206721.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,Dune,(2021),12,155.0,8.0,74.0,624436.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,East New York,(2022– ),,44.0,6.9,NaN,1050.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,El Secreto de la Familia Greco,(2022– ),16,NaN,6.3,NaN,272.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,El caballero oscuro,(2008),12,152.0,9.0,84.0,2634748.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,El club de la lucha,(1999),18,139.0,8.8,66.0,2107086.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
