,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FANTASY,H,HISTORY,HORROR,I,L,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
55,El abogado del Lincoln,(2022– ),16,60.0,7.7,NaN,37363.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
56,El agente invisible,(2022),16,122.0,6.5,49.0,188690.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
57,El caballero oscuro,(2008),12,152.0,9.0,84.0,2634748.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,El callejón de las almas perdidas,(2021),16,150.0,7.0,70.0,141835.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
59,El club de la medianoche,(2022– ),16,60.0,6.6,NaN,20358.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
60,El cuento de la criada,(2017– ),18,60.0,8.4,NaN,234720.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
61,El diablo en Ohio,(2022),16,356.0,5.9,NaN,13977.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
62,El extraño,(II) (2022),16,117.0,6.6,74.0,11044.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
63,El gabinete de curiosidades de Guillermo del Toro,(2022– ),18,60.0,7.2,NaN,26086.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
64,El guardaespaldas,(1992),13,129.0,6.3,39.0,135788.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
65,El hombre del norte,(2022),16,137.0,7.1,82.0,189136.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,El insoportable peso de un talento descomunal,(2022),12,107.0,7.0,68.0,81749.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,El juego del calamar,(2021– ),16,55.0,8.0,NaN,441215.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
68,El mediador,(2022),16,104.0,4.8,27.0,17734.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
69,El mentalista,(2008–2015),TP,43.0,8.1,NaN,185240.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
70,El menú,(2022),7,106.0,7.5,70.0,1299.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
71,El paciente,(2022),,300.0,7.0,NaN,12077.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
72,El prodigio,(I) (2022),R,108.0,6.8,70.0,1874.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
