,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,I,M,MUSIC,MUSICAL,ROMANCE,S,SCI-FI,SHORT,U
77,Fievel y el nuevo mundo,(1986),TP,80.0,6.9,38.0,54090.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Frozen II,(2019),A,103.0,6.8,64.0,171917.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,Frozen: El reino del hielo,(I) (2013),A,102.0,7.4,75.0,622811.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,Funny Girl (Una chica divertida),(1968),13,151.0,7.3,89.0,23134.0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,GG - Gandhada Gudi,(2022),,99.0,9.8,NaN,2118.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
82,Galavant,(2015–2016),,22.0,8.1,NaN,15679.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,Glee,(2009–2015),A,44.0,6.8,NaN,148488.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
84,Gnomeo y Julieta,(2011),A,84.0,5.9,53.0,56358.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Goofy e hijo,(1995),A,78.0,6.9,53.0,55330.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,Granujas a todo ritmo (The Blues Brothers),(1980),A,133.0,7.9,60.0,200085.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
