,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,I,M,MUSIC,MUSICAL,ROMANCE,S,SCI-FI,SHORT,U
67,Encantada: La historia de Giselle,(2007),7,107.0,7.1,75.0,199733.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,Encanto,(2021),A/i/fig,102.0,7.2,75.0,217334.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
69,Enredados,(2010),A/i,100.0,7.7,71.0,452122.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,Escucha mi voz,(2004),PG,107.0,5.8,33.0,28093.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
71,Evita,(1996),7,135.0,6.3,45.0,36013.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
72,Fama,(1980),TP,134.0,6.6,58.0,23001.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
73,Fama,(1982–1987),Not Rated,60.0,7.0,NaN,3908.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
74,Fantasía,(1940),A,125.0,7.7,96.0,97026.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
75,FernGully: las aventuras de Zak y Crysta,(1992),T,76.0,6.5,67.0,30867.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
76,Festival de la Canción de Eurovisión: La historia de Fire Saga,(2020),16,123.0,6.5,50.0,94202.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
