,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,B,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,G,HISTORY,HORROR,I,MUSIC,MUSICAL,O,R,ROMANCE,SHORT,SPORT,THRILLER,WAR,WESTERN
51,Diario de un rebelde,(1995),13,102.0,7.3,46.0,112313.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Diarios de la calle,(2007),13,123.0,7.6,64.0,79610.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,Dickinson,(2019–2021),12,30.0,7.6,NaN,15807.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,Donnie Brasco,(1997),18,127.0,7.7,76.0,309289.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Dos hombres y un destino,(1969),14,110.0,8.0,66.0,216557.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,El Rey: Vicente Fernández,(2022– ),,52.0,7.4,NaN,335.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
57,El amante,(1992),18,115.0,6.8,59.0,21792.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
58,El asesinato de Jesse James por el cobarde Robert Ford,(2007),12,160.0,7.5,68.0,182646.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,El asesinato de la familia Borden (Lizzie),(2018),R,105.0,5.9,59.0,8122.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,El aviador,(2004),13,170.0,7.5,77.0,362234.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,El castillo de cristal,(2017),12,127.0,7.1,56.0,34156.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,El cielo es real,(2014),7,99.0,5.8,47.0,27390.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,El discurso del rey,(2010),A,118.0,8.0,88.0,680529.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
64,El duque,(2020),7,95.0,6.9,74.0,8356.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,El escándalo (Bombshell),(I) (2019),12/fig,109.0,6.8,64.0,115544.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,El expreso de medianoche,(1978),18,121.0,7.5,59.0,80655.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,El francotirador,(2014),16,133.0,7.3,72.0,488050.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,El fundador,(2016),A,115.0,7.2,66.0,151801.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,El gran showman,(2017),A,105.0,7.5,48.0,281632.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,El hombre elefante,(1980),14,124.0,8.2,78.0,241588.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,El hundimiento,(2004),18,156.0,8.2,82.0,356059.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
72,El instante más oscuro,(2017),A,125.0,7.4,75.0,203084.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
73,El irlandés,(2019),16,209.0,7.8,94.0,386291.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,El lobo de Wall Street,(2013),16,180.0,8.2,75.0,1395968.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,El milagro del padre Stu,(2022),12,124.0,6.5,40.0,18887.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,El método Williams,(2021),12,144.0,7.5,76.0,111732.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
77,El pianista,(2002),13,150.0,8.5,85.0,827608.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,El rey proscrito,(2018),16,121.0,6.9,59.0,72795.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,El sargento York,(1941),T,134.0,7.7,NaN,18604.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
80,El superviviente de Auschwitz,(2021),R,129.0,6.7,71.0,3696.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
81,El vicio del poder,(I) (2018),12,132.0,7.2,61.0,148090.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,El ángel de la muerte,(2022),18,121.0,6.9,65.0,36746.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,El último baile,(2020),7,491.0,9.1,NaN,122574.0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
84,El único superviviente,(2013),16,121.0,7.5,60.0,288628.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,Elizabeth,(1998),13,124.0,7.4,75.0,100091.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
86,Elvis,(2022),12,159.0,7.4,64.0,144533.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,Emily,(2022),R,130.0,7.1,77.0,1032.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
88,En busca de la felicidad,(2006),A,117.0,8.0,64.0,511141.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,En el corazón del mar,(2015),12,122.0,6.9,47.0,139968.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,En el nombre del padre,(1993),13,133.0,8.1,84.0,175595.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
