,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,N,ROMANCE,SCI-FI,SHORT,WAR
18,Bichos: Una aventura en miniatura,(I) (1998),A,95.0,7.2,77.0,293758.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,Big Hero 6,(2014),A,102.0,7.8,74.0,461212.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Big Mouth,(2017– ),16,30.0,7.9,NaN,79429.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,Black Clover,(2017–2021),12,24.0,8.3,NaN,23405.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Blaze,(2022),,101.0,6.2,NaN,315.0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Bleach: Burîchi,(2004–2012),13,24.0,8.2,NaN,56017.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Bleach: Thousand Year Blood War,(2022– ),,24.0,9.5,NaN,9045.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Blue Lock,(2022– ),,22.0,8.4,NaN,1656.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
26,Bluey,(2018– ),TP,7.0,9.7,NaN,10090.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,BoJack Horseman,(2014–2020),16,25.0,8.8,NaN,156171.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Bob Esponja,(1999– ),TP,23.0,8.2,NaN,99147.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29,Bob's Burgers,(2011– ),A,22.0,8.2,NaN,81379.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Bolt,(2008),A,96.0,6.8,67.0,212056.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Boruto: Naruto Next Generations,(2017– ),,23.0,6.8,NaN,21507.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,Brave (Indomable),(2012),A/i,93.0,7.1,69.0,412026.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Buscando a Nemo,(2003),A,100.0,8.2,90.0,1039852.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,Cars,(2006),A,117.0,7.2,73.0,421607.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
