,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,I,MUSIC,MYSTERY,O,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
17,Avatar,(2009),7,162.0,7.8,83.0,1244714.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Avatar. La leyenda de Aang,(2005–2008),10,23.0,9.3,NaN,313221.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,Avatar: El sentido del agua,(2022),,190.0,NaN,NaN,NaN,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Banshee,(2013–2016),18,60.0,8.4,NaN,104984.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Barry,(2018– ),16,30.0,8.4,NaN,82213.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Batman: La serie animada,(1992–1995),A,23.0,9.0,NaN,104062.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Black Adam,(2022),12,125.0,7.0,41.0,115696.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Black Panther,(2018),12,134.0,7.3,88.0,760364.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Black Panther: Wakanda Forever,(2022),7,161.0,7.4,67.0,65627.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Blade Runner,(1982),13,117.0,8.1,84.0,767135.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
27,Blade Runner 2049,(2017),12,164.0,8.0,81.0,567672.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,Bleach: Burîchi,(2004–2012),13,24.0,8.2,NaN,56017.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,Bleach: Thousand Year Blood War,(2022– ),,24.0,9.5,NaN,9045.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Brahmastra Part One: Shiva,(2022),,167.0,5.6,57.0,102623.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,"Buffy, cazavampiros",(1997–2003),13,44.0,8.3,NaN,147445.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Bullet Train,(2022),16,127.0,7.3,49.0,176503.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,Bárbaros,(2020– ),16,280.0,7.2,NaN,26508.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Caballero Luna,(2022),16,NaN,7.3,NaN,226025.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
35,Call of Duty: Modern Warfare II,(2022 Video Game),,NaN,8.2,NaN,753.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,Caza al asesino,(2015),12,115.0,5.8,39.0,41581.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,Chainsaw Man,(2022– ),,NaN,8.8,NaN,10974.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Chicago Fire,(2012– ),12,43.0,8.0,NaN,57610.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Chicago P.D.,(2014– ),16,43.0,8.1,NaN,38689.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
