,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,FILM-NOIR,HISTORY,MUSICAL,MYSTERY,O,P,R,REALITY-TV,ROMANCE,S,SCI-FI,SPORT,T,TALK-SHOW,THRILLER
113,Intramural,(2014),R,100.0,4.3,58.0,1506.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
114,Invencible,(2006),A,105.0,7.0,63.0,71668.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
115,Invencible (Unbroken),(I) (2014),12,137.0,7.2,59.0,168928.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116,Invictus,(2009),A,134.0,7.3,74.0,160488.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,Jerry Maguire,(1996),7,139.0,7.3,77.0,267585.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
118,Juego de campeones,(1999),13,106.0,6.5,50.0,46562.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
119,Jugar en casa,(2022),7,95.0,6.0,23.0,18877.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
120,Karate Kid (El momento de la verdad),(1984),A,126.0,7.3,60.0,226630.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,Karate Kid II... La historia continúa,(1986),A,113.0,6.1,55.0,91328.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
122,Karate Kid III: El desafío final,(1989),A,112.0,5.3,36.0,64446.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123,Kickboxer,(1989),18,97.0,6.4,33.0,56382.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
124,Kingdom,(2014–2017),,43.0,8.5,NaN,18326.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
125,Kuroko no basket,(2012–2015),12,24.0,8.3,NaN,9016.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
126,La aspirante,(2021),13,97.0,6.5,85.0,5332.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
127,La batalla de los sexos,(2017),A/fig,121.0,6.7,73.0,56236.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,La carrera de la muerte del año 2000,(1975),18,80.0,6.2,58.0,28172.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
129,La caída,(2022),16,95.0,7.0,NaN,279.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
130,La clave del éxito,(1983),13,91.0,5.9,62.0,19163.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
131,La liga fantástica,(I) (2009–2015),,22.0,8.3,NaN,49151.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
132,La peli del fútbol,(2022),7,73.0,3.1,NaN,402.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,La verdad duele,(2015),7,123.0,7.1,55.0,95724.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
134,La vida en juego,(2006),13,125.0,7.0,52.0,66373.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,Lagaan: Érase una vez en la India,(2001),PG,224.0,8.1,84.0,114864.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
136,Lamborghini,(2022),R,97.0,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
137,LazyTown,(2002–2014),TP,30.0,5.9,NaN,7444.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138,Le Mans '66,(2019),7,152.0,8.1,81.0,390417.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
139,Liger,(2022),,140.0,3.0,NaN,45778.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
140,Lionheart: El luchador,(1990),18,108.0,6.2,41.0,36892.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141,Lobos universitarios,(1993),18,112.0,6.4,51.0,10836.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
142,Loco por ti,(1985),,107.0,6.6,55.0,9092.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
143,Locos por el surf,(2007),A,85.0,6.7,64.0,80777.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
144,Los amos de Dogtown,(2005),13,107.0,7.1,56.0,55733.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
145,Los blancos no la saben meter,(1992),13,115.0,6.8,65.0,87744.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
146,Los búfalos de Durham,(1988),13,108.0,7.0,73.0,55280.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
147,Los calientabanquillos,(2006),PG-13,85.0,5.5,25.0,51738.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
148,Los entresijos de la FIFA,(2022),7,221.0,7.5,NaN,1497.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
