,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,F,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
59,El príncipe dragón,(2018– ),7,26.0,8.3,NaN,23503.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,El reino,(1994–2022),,561.0,8.3,NaN,18628.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
61,El retorno de las brujas,(1993),7,96.0,6.9,43.0,142826.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
62,El retorno de las brujas 2,(2022),12,103.0,6.0,56.0,42118.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
63,El señor de los anillos: El retorno del rey,(2003),12,201.0,9.0,94.0,1835357.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,El señor de los anillos: La comunidad del anillo,(2001),12,178.0,8.8,92.0,1864318.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
65,El señor de los anillos: Las dos torres,(2002),12,179.0,8.8,87.0,1657236.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
66,El señor de los anillos: Los anillos de poder,(2022– ),14,NaN,6.9,NaN,286084.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
67,El viaje de Chihiro,(2001),A,125.0,8.6,96.0,758245.0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
68,El visitante,(2020),16,60.0,7.7,NaN,83076.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
69,Elf,(2003),A,97.0,7.0,64.0,267060.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,Embrujadas,(1998–2006),7,42.0,7.1,NaN,84495.0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
71,Encantada: La historia de Giselle,(2007),7,107.0,7.1,75.0,200403.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Encanto,(2021),A/i/fig,102.0,7.2,75.0,218363.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,Entrevista con el vampiro,(1994),18,123.0,7.5,59.0,325167.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
74,Entrevista con el vampiro,(2022– ),,NaN,6.9,NaN,10131.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
75,Escuadrón suicida,(2016),12,123.0,5.9,40.0,684676.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
76,Estación Once,(2021–2022),18,507.0,7.6,NaN,25933.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
77,Eternals,(2021),12,156.0,6.3,52.0,338209.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,Evil Dead Rise,(2023),18,120.0,NaN,NaN,NaN,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
79,Fantasmas,(2019– ),TP,30.0,8.3,NaN,16908.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,Free Guy,(2021),12,115.0,7.1,62.0,366391.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
