,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SHORT,T,THRILLER,WAR
59,El hobbit: La batalla de los cinco ejércitos,(2014),12,144.0,7.4,59.0,531683.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,El hobbit: La desolación de Smaug,(2013),12,161.0,7.8,66.0,662032.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
61,El hobbit: Un viaje inesperado,(2012),7,169.0,7.8,58.0,825748.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
62,El hogar de Miss Peregrine para niños peculiares,(2016),7,127.0,6.7,57.0,173422.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
63,El hombre del norte,(2022),16,137.0,7.1,82.0,185376.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64,El laberinto del fauno,(2006),18,118.0,8.2,98.0,667198.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
65,El mago de Oz,(1939),A,102.0,8.1,92.0,398950.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
66,El reino,(1994–2022),,561.0,8.3,NaN,18491.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
67,El retorno de las brujas,(1993),7,96.0,6.9,43.0,141290.0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
68,El retorno de las brujas 2,(2022),12,103.0,6.0,56.0,39804.0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
69,El secreto de Adaline,(2015),7,112.0,7.2,51.0,182246.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
70,El señor de los anillos: El retorno del rey,(2003),12,201.0,9.0,94.0,1832094.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,El señor de los anillos: La comunidad del anillo,(2001),12,178.0,8.8,92.0,1860702.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72,El señor de los anillos: Las dos torres,(2002),12,179.0,8.8,87.0,1654349.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,El señor de los anillos: Los anillos de poder,(2022– ),14,NaN,6.9,NaN,274814.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74,El viaje de Chihiro,(2001),A,125.0,8.6,96.0,756450.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
75,El visitante,(2020),16,60.0,7.7,NaN,82742.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
76,Embrujadas,(1998–2006),7,42.0,7.1,NaN,84342.0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
77,Encanto,(2021),A/i/fig,102.0,7.2,75.0,217334.0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
78,Entrevista con el Vampiro,(2022– ),,NaN,6.7,NaN,7845.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
79,Entrevista con el vampiro,(1994),18,123.0,7.5,59.0,324422.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
80,Escuadrón suicida,(2016),12,123.0,5.9,40.0,683718.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
81,Eternals,(2021),12,156.0,6.3,52.0,336731.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
82,Fantasmas,(2019– ),TP,30.0,8.3,NaN,16638.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
83,Free Guy,(2021),12,115.0,7.1,62.0,364830.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
84,Frozen: El reino del hielo,(I) (2013),A,102.0,7.4,75.0,622811.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Ghosts,(2021– ),14,NaN,7.8,NaN,15813.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
86,Good Omens,(2019–2022),16,328.0,8.0,NaN,77025.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
87,Gotham Knights,(2022 Video Game),,NaN,6.9,NaN,295.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
88,Gravity Falls,(2012–2016),TP,23.0,8.9,NaN,107321.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Gremlins,(1984),12,106.0,7.3,70.0,224699.0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
90,Grimm,(2011–2017),16,45.0,7.8,NaN,120145.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
91,Halloweentown: ¡Qué familia la mía!,(1998 TV Movie),,84.0,6.6,NaN,18685.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
92,Harley Quinn,(2019– ),16,23.0,8.5,NaN,29679.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,Harry Potter y el cáliz de fuego,(2005),7,157.0,7.7,81.0,622807.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
94,Harry Potter y el prisionero de Azkaban,(2004),7,142.0,7.9,82.0,630317.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
95,Harry Potter y la Orden del Fénix,(2007),7,138.0,7.5,71.0,578497.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,Harry Potter y la cámara secreta,(2002),7,161.0,7.4,63.0,631138.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
97,Harry Potter y la piedra filosofal,(2001),A,152.0,7.6,65.0,773799.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
98,Harry Potter y las Reliquias de la Muerte - Parte 1,(2010),7,146.0,7.7,65.0,545734.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
99,Harry Potter y las Reliquias de la Muerte - Parte 2,(2011),7,130.0,8.1,85.0,869614.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
100,Haunted Mansion,(2023),,NaN,NaN,NaN,NaN,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
101,Hook (El capitán Garfio),(1991),A,142.0,6.8,52.0,254861.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
102,Hotel Transilvania,(2012),A/i,91.0,7.0,47.0,256177.0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
103,Hotel Transilvania 4: Transformanía,(2022),7,87.0,6.0,46.0,30591.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
