,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
52,Corazón rebelde,(2009),7,112.0,7.2,83.0,90368.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
53,Cruce de caminos,(1986),A,99.0,7.1,55.0,16333.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
54,Cásate conmigo,(2022),7,112.0,6.1,51.0,30907.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
55,Daisy Jones & The Six,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
56,Dancing with the Stars,(I) (2005– ),,60.0,4.8,NaN,10002.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
57,Dando la nota,(2006),18,94.0,6.8,55.0,109814.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
58,Dando la nota,(2012),12,112.0,7.1,66.0,306455.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
59,Dando la nota - Aún más alto,(2015),7,115.0,6.4,63.0,157975.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
60,Dando la nota 3,(2017),12,93.0,5.8,40.0,64803.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
61,Dave,(2020– ),16,30.0,8.3,NaN,19286.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
62,Descubriendo a los Robinsons,(2007),G,95.0,6.8,61.0,101026.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,Dewey Cox: Una vida larga y dura,(2007),13,96.0,6.8,63.0,73790.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
