,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MYSTERY,ROMANCE,S,SCI-FI,SHORT,T,THRILLER,WAR,Y
42,Déjame salir,(I) (2017),16,104.0,7.7,85.0,602285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
43,El Halloween de Hubie,(2020),7,103.0,5.2,53.0,51215.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44,El abogado del Lincoln,(2022– ),16,60.0,7.7,NaN,36907.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,El club de la medianoche,(2022– ),16,60.0,6.6,NaN,17660.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
46,El diablo en Ohio,(2022),16,356.0,5.9,NaN,13424.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
47,El faro,(I) (2019),16,109.0,7.4,83.0,215485.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
48,El gabinete de curiosidades de Guillermo del Toro,(2022– ),18,60.0,7.5,NaN,13581.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
49,El juego del calamar,(2021– ),16,55.0,8.0,NaN,439740.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
50,El mentalista,(2008–2015),TP,43.0,8.1,NaN,184867.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51,El paciente,(2022),,300.0,7.1,NaN,9899.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
52,El prodigio,(2022),R,108.0,7.1,70.0,325.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
53,El proyecto de la bruja de Blair,(1999),13,81.0,6.5,81.0,262471.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
54,El rostro de la muerte,(1976),,83.0,6.4,67.0,11712.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
55,El sastre de la mafia,(2022),16,105.0,7.1,69.0,38589.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
