,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,MUSICAL,MYSTERY,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,THRILLER
181,Posesión infernal,(1981),18,85.0,7.4,71.0,210768.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
182,Posesión infernal,(2013),18,91.0,6.5,57.0,173258.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
183,Predator: La presa,(I) (2022),18,99.0,7.2,71.0,179312.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
184,Prey for the Devil,(2022),PG-13,93.0,5.2,38.0,2117.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
185,Psicosis,(1960),13,109.0,8.5,97.0,668807.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
186,Run Sweetheart Run,(2020),R,104.0,5.3,49.0,1570.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
187,Saint Maud,(2019),16,84.0,6.7,83.0,37656.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
188,Sandman,(2022– ),18,45.0,7.7,NaN,133871.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
189,Saw,(2004),18,103.0,7.6,46.0,421661.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
190,Scream,(I) (2022),16,114.0,6.3,60.0,109553.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
191,Scream 2,(1997),18,120.0,6.3,63.0,184764.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
192,Scream 4,(2011),16,111.0,6.2,52.0,150528.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
193,Scream 6,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
194,Scream: Vigila quién llama,(1996),18,111.0,7.4,65.0,342834.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
195,Servant,(2019– ),15,30.0,7.5,NaN,35019.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
196,Silent Hill,(2006),18,125.0,6.5,31.0,231206.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
197,Sinister,(I) (2012),16,110.0,6.8,53.0,253830.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
198,Sissy,(2022),,102.0,6.2,67.0,1992.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
199,Slayers,(2022),R,88.0,3.0,NaN,582.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
200,Sleepy Hollow,(1999),13,105.0,7.3,65.0,361248.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
201,Smile,(V) (2022),16,115.0,6.8,68.0,35772.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
202,Sobrenatural,(2005–2020),12,44.0,8.4,NaN,443048.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
203,Speak No Evil,(2022),,97.0,6.6,78.0,14180.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
204,Spirit Halloween,(2022),,87.0,4.5,48.0,603.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
205,Stranger Things,(2016– ),16,51.0,8.7,NaN,1167671.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
