,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,L,MYSTERY,R,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
64,El mediador,(2022),16,104.0,4.8,27.0,17029.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
65,El mentalista,(2008–2015),TP,43.0,8.1,NaN,184867.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
66,El menú,(2022),R,106.0,7.5,73.0,730.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
67,El paciente,(2022),,300.0,7.1,NaN,9899.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
68,El profesional (Léon),(1994),18,110.0,8.5,64.0,1153201.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,El robo a Mussolini,(2022),16,90.0,5.5,NaN,829.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,El rostro de la muerte,(1976),,83.0,6.4,67.0,11712.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
71,El sexto sentido,(1999),13,107.0,8.2,64.0,988020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
72,El silencio de los corderos,(1991),18,118.0,8.6,85.0,1421366.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
73,El truco final (El prestigio),(2006),18,130.0,8.5,66.0,1323859.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
74,El ángel de la muerte,(2022),18,121.0,6.9,64.0,19636.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,Encerrado con el diablo,(2022),16,347.0,8.2,NaN,54801.0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,Escondidos en Brujas,(2008),18,107.0,7.9,67.0,425073.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,Estación 19,(2018– ),12,60.0,6.8,NaN,15247.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
78,Expediente Warren: The Conjuring,(2013),16,112.0,7.5,68.0,507105.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
79,Expediente X,(1993–2018),13,45.0,8.6,NaN,225116.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
80,Expend4bles,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
