,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,GAME-SHOW,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,THRILLER,V,WAR,WESTERN
58,El escuadrón suicida,(2021),16,132.0,7.2,72.0,346515.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,El gran hotel Budapest,(2014),12,99.0,8.1,88.0,803083.0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,El hijo bastardo y el mismísimo diablo,(2022– ),16,60.0,7.4,NaN,1906.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,El hobbit: La desolación de Smaug,(2013),12,161.0,7.8,66.0,662032.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
62,El hobbit: Un viaje inesperado,(2012),7,169.0,7.8,58.0,825748.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
63,El hombre de acero,(2013),12,143.0,7.1,55.0,768506.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,El hombre del norte,(2022),16,137.0,7.1,82.0,185376.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,El lago azul,(1980),14,104.0,5.8,31.0,70966.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
66,El libro de Boba Fett,(2021– ),12,38.0,7.3,NaN,147433.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
67,El libro de Catherine,(2022),PG-13,108.0,6.5,74.0,3092.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,El mago de Oz,(1939),A,102.0,8.1,92.0,398950.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
69,El proyecto Adam,(2022),12,106.0,6.7,55.0,197108.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,El quinto elemento,(1997),7,126.0,7.6,52.0,473329.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
71,El rey león,(1994),A,88.0,8.5,88.0,1050747.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,El señor de los anillos: El retorno del rey,(2003),12,201.0,9.0,94.0,1832094.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,El señor de los anillos: La comunidad del anillo,(2001),12,178.0,8.8,92.0,1860702.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,El señor de los anillos: Las dos torres,(2002),12,179.0,8.8,87.0,1654349.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,El señor de los anillos: Los anillos de poder,(2022– ),14,NaN,6.9,NaN,274814.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,El viaje de Chihiro,(2001),A,125.0,8.6,96.0,756450.0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,En busca del arca perdida,(1981),A,115.0,8.4,85.0,961025.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,Enola Holmes,(2020),13,123.0,6.6,68.0,173107.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Enola Holmes 2,(2022),PG-13,129.0,6.9,58.0,203.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Escuadrón suicida,(2016),12,123.0,5.9,40.0,683718.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
81,Eternals,(2021),12,156.0,6.3,52.0,336731.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
82,Expend4bles,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
83,FBI: International,(2021– ),12,43.0,6.3,NaN,4082.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Fallout,(2022– ),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,Firefly,(2002–2003),,44.0,9.0,NaN,265170.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
86,Free Guy,(2021),12,115.0,7.1,62.0,364830.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,Futurama,(1999–2023),16,22.0,8.5,NaN,237414.0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Gladiator (El gladiador),(2000),12,155.0,8.5,67.0,1489330.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Gotham Knights,(2022 Video Game),,NaN,6.9,NaN,295.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Guardianes de la Galaxia,(2014),12,121.0,8.0,76.0,1170405.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
