,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
72,Invencible (Unbroken),(I) (2014),12,137.0,7.2,59.0,168595.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,Jarhead - El infierno espera,(2005),18,125.0,7.0,58.0,190880.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
74,Jojo Rabbit,(2019),12,108.0,7.9,58.0,385467.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
75,Juego de armas,(2016),16,114.0,7.1,57.0,219778.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,K-19: The Widowmaker,(2002),A,138.0,6.7,58.0,63967.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
77,Kurulus: Osman,(2019– ),,120.0,7.5,NaN,9920.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,La belleza de las cosas,(1995),18,130.0,6.9,NaN,6693.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
79,La chaqueta metálica,(1987),18,116.0,8.3,76.0,739570.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
80,La delgada línea roja,(1998),13,170.0,7.6,78.0,188311.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
81,La gran evasión,(1963),18,172.0,8.2,86.0,244626.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
82,La ladrona de libros,(2013),7,131.0,7.5,53.0,136131.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
83,La llorona,(2019),16,97.0,6.6,79.0,6362.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
84,La noche más oscura,(2012),16,157.0,7.4,95.0,301221.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
85,La princesa blanca,(2017),,60.0,7.5,NaN,13173.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
86,La reina blanca,(2013),16,60.0,7.7,NaN,28260.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
87,La seducción,(2017),12,93.0,6.3,77.0,58006.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
88,La sociedad literaria y el pastel de patata,(2018),7,124.0,7.3,65.0,47027.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
89,La tumba de las luciérnagas,(1988),13,89.0,8.5,94.0,275844.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
90,La vida es bella,(1997),A,116.0,8.6,59.0,690989.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
91,Lawrence de Arabia,(1962),A,218.0,8.3,100.0,293536.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Leyendas de pasión,(1994),13,133.0,7.5,45.0,167174.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
93,Lincoln,(2012),7,150.0,7.3,86.0,261117.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
94,Lo que el viento se llevó,(1939),A,238.0,8.2,97.0,315413.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
95,Los Tudor,(2007–2010),18,60.0,8.1,NaN,75285.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
96,Los archivos del Pentágono,(2017),7,116.0,7.2,83.0,151518.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
97,Los cañones de Navarone,(1961),A,158.0,7.5,72.0,51699.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
98,Los héroes de Hogan,(1965–1971),,25.0,7.8,NaN,10659.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,Los pilares de la Tierra,(2010),,60.0,8.0,NaN,31359.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
100,M*A*S*H,(1970),18,116.0,7.4,80.0,73568.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
101,M*A*S*H,(1972–1983),13,25.0,8.4,NaN,57611.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
102,Macbeth,(I) (2015),16,113.0,6.6,71.0,57156.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
103,Malditos bastardos,(2009),18,153.0,8.3,69.0,1435546.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
104,Malena,(2000),13,108.0,7.4,54.0,103280.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
105,Marea roja,(1995),13,116.0,7.3,66.0,113669.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
106,Masacre (Ven y mira),(1985),18,142.0,8.4,NaN,79455.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
107,Master and Commander: Al otro lado del mundo,(2003),7,138.0,7.4,81.0,222334.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,Masters of the Air,,,NaN,NaN,NaN,NaN,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
109,Medieval,(2022),R,126.0,5.9,48.0,2951.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
110,Midway,(2019),12,138.0,6.7,47.0,85887.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
111,Mr. Sunshine,(2018),16,80.0,8.7,NaN,7821.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
112,Mulán,(1998),A,88.0,7.6,71.0,287924.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Napoleon,,,NaN,NaN,NaN,NaN,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,Overlord,(2018),18,110.0,6.6,60.0,99702.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
