,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,H,HISTORY,HORROR,MUSIC,MUSICAL,MYSTERY,NEWS,O,R,ROMANCE,S,SCI-FI,SHORT,SPORT,T,THRILLER,WESTERN
51,Doctor Who: Dimensions in Time,(1993 TV Short),,13.0,4.9,NaN,472.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
52,Don't Breathe: No Escape,(2016 Video),,3.0,7.2,NaN,12297.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,Don't Hug Me I'm Scared,(2011 Video),13,3.0,8.2,NaN,4215.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,Don't Look Deeper,(2020– ),,8.0,6.1,NaN,901.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
55,Don't Worry Darling,(II) (2022),,NaN,6.6,NaN,27.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
56,Dos completos desconocidos,(2020),,32.0,6.9,NaN,15576.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
57,Dr. Horrible's Sing-Along Blog,(2008),,42.0,8.4,NaN,43444.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
58,Dubai Presents: A Five-Star Mission,(2021),,2.0,5.1,NaN,188.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
59,Dummy,(2020– ),,6.0,6.6,NaN,2138.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,Dying Is Easy,(2021),,26.0,7.3,NaN,874.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
61,El amor en el espectro autista: Estados Unidos,(2022– ),7,40.0,8.2,NaN,1395.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
62,El asombroso mundo de Gumball,(2011–2019),TP,11.0,8.3,NaN,32251.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
63,El capitán Planeta y los planetarios,(1990–1996),,23.0,6.7,NaN,11928.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
64,El globo rojo,(1956),,34.0,8.1,NaN,18753.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
65,El hombre contra la abeja,(2022– ),7,NaN,6.7,NaN,27594.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
66,El laboratorio de Dexter,(1996–2003),7,23.0,7.9,NaN,49228.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
