,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,MYSTERY,O,P,R,ROMANCE,S,SCI-FI,SPORT,T,TALK-SHOW,THRILLER
94,Garra,(2022),12,117.0,7.3,68.0,115377.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
95,Gladiator,(1992),18,101.0,6.5,49.0,9532.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
96,Golpe de efecto,(2012),A,111.0,6.8,58.0,64753.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
97,Goon,(2011),R,92.0,6.8,64.0,87514.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
98,Gran Turismo,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,Guerra de cheerleaders,(2009),PG-13,90.0,6.1,31.0,44571.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
100,Haikyu!! Los ases del vóley,(2014–2020),7,24.0,8.7,NaN,25421.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,Hardball,(2001),13,109.0,6.4,48.0,31797.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
102,Heels,(2021– ),18,60.0,8.0,NaN,6954.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
103,Herbie: A tope,(2005),A,101.0,4.9,47.0,48274.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
104,Hombres errantes,(1952),,113.0,7.4,NaN,3218.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
105,Hooligans,(2005),R,109.0,7.4,55.0,151754.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
106,Hoosiers: más que ídolos,(1986),TP,114.0,7.4,76.0,47557.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
107,Huracán Carter,(1999),R,146.0,7.6,74.0,97653.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
108,In from the Side,(2022),,134.0,8.1,NaN,2544.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
109,Invencible,(2006),A,105.0,7.0,63.0,71586.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
110,Invencible (Unbroken),(I) (2014),12,137.0,7.2,59.0,168595.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,Invictus,(2009),A,134.0,7.3,74.0,160302.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,Jerry Maguire,(1996),7,139.0,7.3,77.0,267194.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
113,Juego de campeones,(1999),13,106.0,6.5,50.0,46487.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
114,Jugar en casa,(2022),7,95.0,6.0,23.0,18772.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
115,Karate Kid (El momento de la verdad),(1984),A,126.0,7.3,60.0,226198.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
116,Karate Kid II... La historia continúa,(1986),A,113.0,6.1,55.0,91137.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
117,Karate Kid III: El desafío final,(1989),A,112.0,5.3,36.0,64312.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
118,Kickboxer,(1989),18,97.0,6.4,33.0,56298.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
119,Kingdom,(2014–2017),,43.0,8.5,NaN,18289.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
120,Kuroko no basket,(2012–2015),12,24.0,8.3,NaN,8949.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
121,La aspirante,(2021),13,97.0,6.5,85.0,5244.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
122,La batalla de los sexos,(2017),A/fig,121.0,6.7,73.0,56146.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123,La carrera de la muerte del año 2000,(1975),18,80.0,6.2,58.0,28129.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
124,La carrera del siglo,(1965),A,160.0,7.2,71.0,18200.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,La clave del éxito,(1983),13,91.0,5.9,62.0,19115.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
126,La liga fantástica,(I) (2009–2015),,22.0,8.3,NaN,49065.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
127,La reina de Katwe,(2016),PG,124.0,7.4,73.0,17560.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128,La verdad duele,(2015),7,123.0,7.1,55.0,95590.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
129,La vida en juego,(2006),13,125.0,7.0,52.0,66264.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130,Lamborghini,(2022),R,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
131,Las 24 horas de Le Mans,(1971),A,106.0,6.7,52.0,10765.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,LazyTown,(2002–2014),TP,30.0,5.9,NaN,7425.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
133,Le Mans '66,(2019),7,152.0,8.1,81.0,388758.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,Legado: Los LA Lakers de Jerry Buss,(2022),,60.0,8.2,NaN,495.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
135,Liger,(2022),,140.0,2.9,NaN,45483.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
136,Lionheart: El luchador,(1990),18,108.0,6.2,41.0,36828.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
137,Lobos universitarios,(1993),18,112.0,6.4,51.0,10826.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
138,Loca academia de esquí,(1990),R,89.0,4.9,NaN,3773.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
139,Loco por ti,(1985),,107.0,6.6,55.0,9080.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
140,Locos por el surf,(2007),A,85.0,6.7,64.0,80563.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
141,Los amos de Dogtown,(2005),13,107.0,7.1,56.0,55669.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
142,Los blancos no la saben meter,(1992),13,115.0,6.8,65.0,87556.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
143,Los búfalos de Durham,(1988),13,108.0,7.0,73.0,55179.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
144,Los calientabanquillos,(2006),PG-13,85.0,5.5,25.0,51694.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
145,Los locos del Cannonball,(1981),A,95.0,6.2,28.0,36879.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
146,Los picarones,(1976),,102.0,7.3,84.0,23085.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
147,Love & Basketball,(2000),A,124.0,7.2,70.0,21998.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
148,Luces de viernes noche,(2004),PG-13,118.0,7.2,70.0,63745.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
